Estimulo;C2;C4
1;1679947.314387,37791960.17301,28.030803,41.228613,1679991.849196,37792535.598017,28.030954,41.229048;1095244.501231,34524226.565702,29.606163,40.520413,1095254.611965,34524343.861551,29.606198,40.52051
1;1680003.479888,37792608.258408,28.030956,41.229096,1680019.708918,37792697.364547,28.030977,41.22918;1095257.312881,34524361.755511,29.606198,40.520522,1095262.351817,34524385.232368,29.606202,40.520545
0;1680052.511543,37792761.688464,28.031001,41.22926,1680052.511543,37792761.688464,28.031001,41.22926;1095269.139086,34524400.250797,29.606209,40.520566,1095269.139086,34524400.250797,29.606209,40.520566
1;1680052.925645,37792793.887191,28.031012,41.229286,1680067.668722,37793083.773767,28.031097,41.229504;1095269.41058,34524407.928425,29.606213,40.520573,1095272.348122,34524466.345389,29.606235,40.520623
2;1680067.696957,37793094.300318,28.031101,41.229512,1680068.227842,37793145.668753,28.031124,41.229558;1095272.417221,34524470.957791,29.606235,40.520627,1095273.030742,34524486.647418,29.606241,40.52064
2;1680069.327406,37793191.860567,28.031153,41.229612,1680106.364622,37794212.606616,28.031754,41.230656;1095273.610259,34524496.245376,29.606249,40.520654,1095281.116478,34524706.301783,29.606391,40.520895
2;1680123.856996,37794245.962078,28.031746,41.230683,1680123.993538,37794254.819783,28.031748,41.230689;1095284.725664,34524720.468715,29.606389,40.520904,1095284.894895,34524722.991131,29.606389,40.520906
2;1680125.864816,37794327.755661,28.031768,41.23074,1680170.187102,37795251.309006,28.032285,41.231667;1095286.283508,34524750.718876,29.606394,40.520924,1095295.866367,34524921.230737,29.60652,40.521134
2;1680171.497514,37795287.270335,28.032287,41.231687,1680176.046762,37795429.953568,28.032359,41.231823;1095296.213543,34524931.508059,29.60652,40.52114,1095297.637004,34524963.748149,29.606537,40.521174
1;1680177.97103,37795473.350673,28.032384,41.231869,1680178.448559,37795509.472561,28.032397,41.231901;1095298.078331,34524975.848105,29.606544,40.521187,1095298.757795,34524989.309144,29.606547,40.521198
2;1680179.657994,37795533.677194,28.032399,41.231915,1680180.862451,37795557.218946,28.032413,41.231941;1095299.442761,34524999.066816,29.606547,40.521204,1095300.131272,34525005.436477,29.606551,40.521212
0;1680181.066191,37795576.541326,28.032428,41.231963,1680181.066191,37795576.541326,28.032428,41.231963;1095300.352294,34525010.493161,29.606555,40.521219,1095300.352294,34525010.493161,29.606555,40.521219
2;1680181.333656,37795633.851737,28.032449,41.23201,1680247.927523,37798072.593543,28.033442,41.234099;1095300.400064,34525026.145545,29.60656,40.521232,1095315.202221,34525517.42261,29.606801,40.521712
1;1680255.674719,37798236.446604,28.033419,41.234172,1680256.76237,37798562.886773,28.033595,41.234475;1095316.966326,34525549.17566,29.606796,40.521727,1095317.273043,34525614.457217,29.606837,40.521796
1;1680257.12927,37798572.464761,28.033598,41.234484,1680264.329048,37798882.843673,28.033716,41.234749;1095317.46447,34525618.940187,29.606838,40.5218,1095319.107844,34525679.657432,29.606868,40.52186
1;1680264.53748,37798899.672775,28.033723,41.234763,1680308.839405,37799801.095458,28.033922,41.235459;1095319.263581,34525687.151358,29.60687,40.521866,1095325.550072,34525874.315846,29.606918,40.522026
