Start_time;End_time;C1;C2;C3;C4;C5
2025-05-15 15:42:36.248653;2025-05-15 15:42:37.299747;340758.198355,24460260.660686,32.555866,36.05719;831249.011078,35193577.369332,29.795932,40.859851;412128.839139,24505119.273177,33.009021,36.515115;935073.021482,33589469.816712,30.68695,40.862495;842405.034093,38113248.083766,29.878093,42.665976
2025-05-15 15:42:37.300745;2025-05-15 15:42:38.368724;340759.065798,24460300.279297,32.555875,36.057222;831251.596013,35193737.313382,29.795991,40.859979;412131.447597,24505315.562445,33.009072,36.515285;935077.039727,33589724.635301,30.687035,40.8627;842407.497991,38113311.976935,29.878107,42.666021
2025-05-15 15:42:38.368724;2025-05-15 15:42:39.422779;340759.428954,24460314.077734,32.555882,36.057237;831252.685233,35193814.193094,29.796024,40.860045;412132.698638,24505420.246869,33.009102,36.515379;935078.386886,33589859.312629,30.687083,40.862811;842407.79063,38113339.940087,29.878118,42.666043
2025-05-15 15:42:39.423777;2025-05-15 15:42:40.498635;340761.106123,24460365.2808,32.555876,36.057269;831257.4305,35194009.09486,29.796038,40.860164;412138.893791,24505666.831256,33.00909,36.515545;935086.040889,33590176.612132,30.687099,40.863007;842410.514711,38113412.501014,29.87812,42.666085
2025-05-15 15:42:40.499632;2025-05-15 15:42:41.551919;340762.04564,24460387.985505,32.555878,36.057289;831259.361654,35194122.275758,29.796057,40.860246;412140.650296,24505811.108069,33.009095,36.515657;935088.042152,33590382.294082,30.687119,40.863147;842411.150653,38113451.814871,29.878125,42.666111
2025-05-15 15:42:41.552916;2025-05-15 15:42:42.608457;340762.266107,24460407.196022,32.555882,36.057307;831260.046915,35194249.079111,29.796079,40.860342;412141.533362,24505988.962943,33.009097,36.515796;935088.893318,33590618.090163,30.687145,40.863316;842411.466589,38113497.888727,29.878132,42.666144
2025-05-15 15:42:42.608457;2025-05-15 15:42:43.655340;340763.238766,24460458.505009,32.55588,36.057341;831260.753114,35194386.742248,29.796123,40.860455;412142.084934,24506162.894442,33.009133,36.515952;935089.646611,33590843.822896,30.687212,40.863502;842411.997755,38113547.227226,29.878144,42.666181
2025-05-15 15:42:43.656371;2025-05-15 15:42:44.723641;340763.432348,24460475.155396,32.555885,36.057359;831261.605675,35194464.337104,29.796156,40.860535;412143.159206,24506259.386537,33.009161,36.516061;935091.146149,33590971.449451,30.687261,40.863637;842412.250031,38113573.172606,29.878154,42.666207
2025-05-15 15:42:44.724640;2025-05-15 15:42:45.783038;340763.721591,24460492.456034,32.555887,36.057374;831262.514746,35194506.398449,29.79618,40.860586;412144.143057,24506307.867563,33.009185,36.516128;935092.899736,33591033.850983,30.687297,40.863718;842412.839971,38113587.131887,29.878162,42.666223
2025-05-15 15:42:45.784071;2025-05-15 15:42:46.837638;340763.773047,24460505.121057,32.555892,36.057389;831263.149557,35194575.40552,29.796209,40.860656;412144.830845,24506396.280439,33.009208,36.516224;935094.495991,33591147.242655,30.68734,40.863836;842413.367095,38113611.621009,29.87817,42.666246
2025-05-15 15:42:46.837638;2025-05-15 15:42:47.905404;340764.084065,24460521.226013,32.5559,36.057408;831266.169646,35194648.924558,29.796256,40.860739;412148.368559,24506494.139569,33.009251,36.516338;935099.004266,33591273.767019,30.687408,40.863975;842413.87343,38113635.028591,29.878183,42.666271
