Start_time;End_time;C1;C2;C3;C4;C5
2025-05-15 15:45:06.757034;2025-05-15 15:45:07.827929;340840.112185,24463689.608879,32.556227,36.060075;831474.963506,35207925.912041,29.799606,40.871482;412410.626021,24523707.24195,33.011176,36.531243;935485.56293,33618032.415165,30.692937,40.88545;842512.538238,38118637.689905,29.87911,42.669939
2025-05-15 15:45:07.829339;2025-05-15 15:45:08.885541;340840.906888,24463701.94808,32.556231,36.060089;831476.714129,35207981.631753,29.799629,40.871535;412412.813317,24523781.834831,33.011194,36.531314;935488.558477,33618152.330731,30.692974,40.885556;842512.946698,38118656.509993,29.879117,42.669956
2025-05-15 15:45:08.885541;2025-05-15 15:45:09.946625;340842.096278,24463724.366121,32.556235,36.060116;831477.755585,35208033.894688,29.799671,40.871623;412414.020176,24523846.194191,33.011234,36.531436;935489.665609,33618253.570908,30.693053,40.885737;842514.141211,38118681.482971,29.879128,42.669988
2025-05-15 15:45:09.946625;2025-05-15 15:45:10.984059;340842.214221,24463742.800594,32.556237,36.060132;831478.235718,35208093.270647,29.799693,40.871683;412414.631493,24523922.541441,33.011253,36.531518;935490.856067,33618379.77058,30.693095,40.885864;842514.355214,38118701.97976,29.879136,42.670008
2025-05-15 15:45:10.990008;2025-05-15 15:45:12.054053;340842.229696,24463756.058485,32.556242,36.060147;831478.566594,35208159.502625,29.799721,40.871744;412415.080715,24524010.911393,33.011276,36.531603;935491.741289,33618525.7471,30.693145,40.885992;842514.397589,38118726.899965,29.879143,42.670028
2025-05-15 15:45:12.055051;2025-05-15 15:45:13.115083;340842.356806,24463785.267538,32.556245,36.060169;831479.238336,35208312.781481,29.799746,40.871843;412415.905135,24524210.063025,33.011284,36.531741;935492.794933,33618850.880381,30.693184,40.886197;842514.575739,38118778.785516,29.87915,42.67006
2025-05-15 15:45:13.115083;2025-05-15 15:45:14.188445;340842.932067,24463793.973841,32.556246,36.060177;831481.664009,35208366.391727,29.799753,40.871882;412419.210719,24524284.330921,33.011283,36.531798;935498.052923,33618985.224924,30.693192,40.886287;842515.571403,38118799.19308,29.879153,42.670074
2025-05-15 15:45:14.188445;2025-05-15 15:45:15.258210;340843.820695,24463813.449781,32.556251,36.060198;831485.329116,35208464.54476,29.79978,40.871974;412423.201138,24524408.21279,33.0113,36.531924;935504.749508,33619194.455582,30.693241,40.886482;842516.580024,38118838.743261,29.879162,42.670106
2025-05-15 15:45:15.259207;2025-05-15 15:45:16.314626;340845.031819,24463855.137991,32.556257,36.060232;831489.412489,35208670.630261,29.799826,40.872124;412428.013339,24524667.829052,33.011327,36.53213;935513.519524,33619619.626902,30.693322,40.886792;842518.50435,38118905.376516,29.879176,42.670153
2025-05-15 15:45:16.315624;2025-05-15 15:45:17.369119;340845.454272,24463883.199231,32.556261,36.060254;831490.828137,35208789.615019,29.799857,40.872211;412429.3957,24524818.637612,33.011346,36.532248;935515.979476,33619887.751883,30.693369,40.886978;842519.011403,38118952.273985,29.879184,42.670183
2025-05-15 15:45:17.369119;2025-05-15 15:45:18.425144;340845.488251,24463890.792892,32.556262,36.060261;831491.095442,35208829.914072,29.799864,40.872241;412429.733803,24524872.827151,33.011349,36.532292;935516.683932,33619980.902928,30.693379,40.887046;842519.111016,38118966.739386,29.879186,42.670193
